efc,soh,capacity_ah,type,temperature_c
1556.0,80.37453869267085,2.411236160780126,estimated,24.298
1557.0,80.36495308121631,2.4109485924364895,estimated,22.652
1558.0,80.35535019838979,2.4106605059516935,estimated,23.6647
1559.0,80.34573292275326,2.4103719876825975,estimated,22.8153
1560.0,80.33615114938138,2.410084534481441,estimated,24.6607
1561.0,80.3265578617615,2.409796735852845,estimated,24.564
1562.0,80.31695305989363,2.409508591796809,estimated,24.156
1563.0,80.30736648891842,2.4092209946675527,estimated,23.146
1564.0,80.29775976800923,2.4089327930402766,estimated,24.5293
1565.0,80.28819622553,2.4086458867658997,estimated,24.882
1566.0,80.27862855374991,2.408358856612497,estimated,25.19
1567.0,80.26933763216672,2.408080128965002,estimated,24.2047
1568.0,80.26006528128427,2.407801958438528,estimated,25.0693
1569.0,80.25076878849086,2.407523063654726,estimated,23.9633
1570.0,80.24149272346827,2.407244781704048,estimated,24.4633
1571.0,80.23222037258583,2.406966611177575,estimated,23.6653
1572.0,80.22292480832746,2.406687744249824,estimated,24.552
1573.0,80.21363574381434,2.40640907231443,estimated,25.1587
1574.0,80.20435039344137,2.4061305118032412,estimated,24.1407
1575.0,80.19507339988374,2.4058522019965123,estimated,24.7373
1576.0,80.18579176365094,2.405573752909528,estimated,24.31
1577.0,80.17649248525241,2.4052947745575723,estimated,24.516
1578.0,80.16719227831885,2.4050157683495654,estimated,23.878
1579.0,80.15790785648092,2.4047372356944274,estimated,24.8573
1580.0,80.1486457194839,2.4044593715845166,estimated,23.6033
1581.0,80.13934086987513,2.404180226096254,estimated,24.466
1582.0,80.1300713045978,2.403902139137934,estimated,23.4053
1583.0,80.12076831205913,2.403623049361774,estimated,24.626
1584.0,80.11149038996646,2.403344711698994,estimated,24.5767
1585.0,80.10221153933875,2.4030663461801627,estimated,24.1927
1586.0,80.09292061775558,2.4027876185326673,estimated,23.8353
1587.0,80.08362226789208,2.4025086680367624,estimated,24.5113
1588.0,80.07434620286949,2.4022303860860847,estimated,25.0467
1589.0,80.06505899542645,2.4019517698627935,estimated,24.242
1590.0,80.05579035868416,2.401673710760525,estimated,24.8713
